route_state,exposures,unique_orders,unique_sellers,unique_products,price_median,freight_median,freight_mean,freight_p95,freight_max,freight_to_price_ratio_median,freight_to_price_ratio_p95,freight_to_price_ratio_max,product_weight_g_median,product_volume_cm3_median,cross_state_rate,delivered_rate,exposure_share
PR_to_MT,72,65,48,66,99.45,27.535,36.36805555555556,73.29200000000002,234.78,0.268929505229284,1.193288590604027,1.8613065326633167,951.0,7942.0,1.0,0.9583333333333334,0.0006391478029294274
MG_to_MS,71,65,41,57,99.7,19.75,28.35014084507042,63.34,126.65,0.2365365365365365,0.7264462532403864,0.9882283696291936,1250.0,8000.0,1.0,0.971830985915493,0.0006302707501109632
SP_to_AC,67,58,50,59,88.34,30.23,39.15865671641791,69.327,108.36,0.37232,1.3371859296482411,3.2852713178294577,800.0,7072.0,1.0,0.9850746268656716,0.0005947625388371061
PR_to_MS,66,55,42,54,96.25,19.28,23.505757575757578,40.41,135.31,0.19717353717353714,0.9038859437751003,1.1671957671957671,875.0,5178.0,1.0,1.0,0.0005858854860186419
MG_to_MT,65,54,37,47,109.9,33.93,37.71861538461538,82.92,86.8,0.3818921261417428,0.7918625633419848,1.253846153846154,925.0,8000.0,1.0,0.9846153846153847,0.0005770084332001775
GO_to_RJ,62,58,17,42,89.45,19.285,24.659032258064514,38.02,107.95,0.31723636363636365,1.0353319853706395,1.5165680473372782,475.0,5720.0,1.0,0.967741935483871,0.0005503772747447848
SP_to_AP,62,50,46,52,89.9,26.615000000000002,31.95258064516129,57.16249999999997,133.39,0.34451366838830705,1.0514365412831792,1.5494505494505493,787.5,7616.0,1.0,0.9838709677419355,0.0005503772747447848
DF_to_DF,61,50,15,40,39.9,8.69,9.010655737704917,12.26,19.45,0.2032581453634085,0.5209459459459459,0.5631848064280497,200.0,3744.0,0.0,1.0,0.0005415002219263204
PR_to_PA,60,56,39,53,164.45,42.754999999999995,53.5315,105.52399999999996,173.02,0.29971698113207546,1.3032702482702456,2.844295302013423,1100.0,11145.0,1.0,0.9666666666666667,0.0005326231691078562
MG_to_PB,59,49,35,48,99.9,35.74,41.41101694915254,73.39599999999997,251.39,0.3794171220400728,1.0716791979949876,2.045112781954887,800.0,12250.0,1.0,0.9830508474576272,0.0005237461162893919
RJ_to_CE,59,57,27,49,108.0,26.54,34.25372881355932,54.03599999999996,170.8,0.2259185177387093,0.6924317957828945,3.1767441860465113,541.0,6358.0,1.0,0.9491525423728814,0.0005237461162893919
BA_to_MG,55,53,7,26,246.62,28.27,34.51618181818181,72.36699999999999,80.13,0.103,0.300619979182791,1.1761174116077384,900.0,8064.0,1.0,0.9636363636363636,0.0004882379050155348
PE_to_RJ,54,43,4,9,149.9,21.32,25.68314814814815,39.572,61.29,0.1422281521014009,0.4538055137844609,0.6843687374749499,533.0,4840.0,1.0,0.9814814814814815,0.0004793608521970706
SC_to_ES,54,52,29,46,107.445,27.205,32.57222222222222,54.0524999999999,185.71,0.2425945328126488,0.7990311643341509,1.2596695821185615,1016.0,7692.0,1.0,1.0,0.0004793608521970706
ES_to_MG,52,45,8,21,99.0,32.98,31.06596153846154,41.08,41.29,0.3891919191919192,0.6424613095238094,0.9773257752584196,9000.0,19656.0,1.0,0.9807692307692307,0.00046160674656014203
RS_to_DF,50,49,28,45,137.45,25.145,30.948,56.450999999999986,70.73,0.2094949494949494,0.9230924660071868,1.078,450.0,5780.0,1.0,0.98,0.0004438526409232135
